timestamp,device_name,imu_acc_x,imu_acc_y,imu_acc_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,qua_w,qua_x,qua_y,qua_z,glb_angle_x,glb_angle_y,glb_angle_z,glb_acc_x,glb_acc_y,glb_acc_z,glb_gyro_x,glb_gyro_y,glb_gyro_z,imu_angle_x,imu_angle_y,imu_angle_z,norm_time
2025-5-24 12:50:5:8,WTGSB-A6,-3.5895913277440883,-10.334240054521565,0.40348772077043293,-19.65214890008533,21.39590544033648,5.8374553288849444,0.67578,-0.63922,-0.12589,0.34464,-82.1,17.28,-320.59000000000003,0.019024192537204,-2.44763992651554,10.076902192899052,-28.316208509074006,-4.777208314060999,-13.559663085032,-59.815275942522,-13.386715814703994,69.523140601595,2025-05-24 12:50:05:008
2025-5-24 12:50:5:8,WTGSB-A6,-4.059618424950701,-8.654498060599588,0.6240101563910339,-22.079793523645513,18.446075616087914,2.2066226954535595,0.67578,-0.63922,-0.12589,0.34464,-82.28,17.36,-320.96,-1.2769161424210715,-2.7846978871870345,7.933643710664537,-27.395998830742407,-9.6313236401385,-9.916027189800701,-59.796586570556,-12.984463861191998,69.63937737064,2025-05-24 12:50:05:008
2025-5-24 12:50:5:9,WTGSB-A6,-4.427717396621151,-7.315171401273145,0.8068224287882437,-23.982347159464197,15.747047696116967,-3.9934070444711476,0.67578,-0.63922,-0.12589,0.34464,-82.46,17.4,-321.32,-1.9652862090899963,-1.8312424736698962,7.449645237715198,-22.335101427741,-17.447867831301,-7.814132979320503,-59.805671513322,-12.589525002604002,69.72603735909999,2025-05-24 12:50:05:009
2025-5-24 12:50:5:9,WTGSB-A6,-4.707208003860475,-6.375849174471086,0.9597848829720269,-25.309942791444634,13.318382228947508,-12.11741568950501,0.67578,-0.63922,-0.12589,0.34464,-82.65,17.37,-321.67,-2.084472402316317,-2.1238098399656185,7.174725730836604,-15.7111398930296,-26.003141624045004,-7.7114834537228045,-59.868639662271015,-12.197205089546994,69.76591293975501,2025-05-24 12:50:05:009
2025-5-24 12:50:5:9,WTGSB-A6,-4.924699075085695,-5.846071318283182,1.0763726670056863,-26.063334127066465,11.175323182801922,-21.36963401860962,0.67578,-0.63922,-0.12589,0.34464,-82.84,17.3,-322.03000000000003,-1.9945016708389058,-1.1657227575881737,6.048979786222651,-9.837302372464201,-35.339108036781,-7.836455237835603,-59.953973052488,-11.793183918566001,69.77319164307501,2025-05-24 12:50:05:009
2025-5-24 12:50:5:9,WTGSB-A6,-5.096816286081698,-5.696490991526475,1.1467404588643328,-26.29408578871918,9.332965634787765,-30.92087923849,0.67578,-0.63922,-0.12589,0.34464,-83.02,17.16,-322.36,-2.9119154737262885,-1.427207766859838,5.502262267802585,-1.2752347543765032,-45.406612646850505,-2.619680821042003,-60.08398560645,-11.416893222499993,69.72449104634,2025-05-24 12:50:05:009
2025-5-24 12:50:5:9,WTGSB-A6,-5.214083264424067,-5.858202336073544,1.1699904275982145,-26.112818729658,7.776098724299118,-40.02440094172366,0.67578,-0.63922,-0.12589,0.34464,-83.18,16.96,-322.7,-3.771466887211533,-1.3472118251244631,8.042144254448079,7.670862705369394,-51.16796316745399,-6.696600095643301,-60.234285174778016,-11.033901404295996,69.61543516879001,2025-05-24 12:50:05:009
2025-5-24 12:50:5:10,WTGSB-A6,-5.253939636821337,-6.232652522808723,1.167547809074806,-25.67466120380967,6.413520206483114,-48.110874014628884,0.67578,-0.63922,-0.12589,0.34464,-83.35,16.74,-323.03000000000003,-3.034357065055289,-3.7690803848709526,8.553982218355491,10.698908742772897,-55.9733373812375,-6.491179488280306,-60.40713072678902,-10.656271133497999,69.49845341963501,2025-05-24 12:50:05:010
2025-5-24 12:50:5:19,WTRIGHT,0.7135587100208451,-5.790853539561745,0.7040349714610921,5.809647525640722,6.7533383009526835,1.5514884669338598,0.67621,-0.59021,0.13858,-0.4184,-80.71,-11.68,-52.84,-3.482360052057799,-0.8198625308628837,6.370826889742328,6.673987663207,-1.2765270259734005,-4.2066638628344,-57.01568025238599,16.386113415572005,-76.947121411516,2025-05-24 12:50:05:019
2025-5-24 12:50:5:19,WTRIGHT,1.8857105815654502,-5.404906748826789,0.6974951204960713,2.458651680750176,6.425384211040105,10.12991485174868,0.67621,-0.59021,0.13858,-0.4184,-80.67,-11.56,-52.89,-2.3403341173723744,-0.659094809391392,4.79526689341149,12.403441592963599,5.879485969924799,-2.586629974639201,-57.094082143125995,16.442279947326007,-76.851237713328,2025-05-24 12:50:05:019
2025-5-24 12:50:5:19,WTRIGHT,3.060638825946715,-5.167888341378312,0.9324242292709324,-0.4507658980324102,6.274694209449527,18.67984606195938,0.67621,-0.59021,0.13858,-0.4184,-80.65,-11.38,-52.92,-0.42035052483497004,-2.098876101524068,4.416389869434661,16.8482327895818,16.4203665940332,0.29667673284339724,-57.22234765111001,16.469301048132003,-76.72274992784801,2025-05-24 12:50:05:019
2025-5-24 12:50:5:20,WTRIGHT,4.125566461115461,-5.019424649956581,1.3180889567960716,-2.933565491798209,6.2465666619701885,27.006362757463553,0.67621,-0.59021,0.13858,-0.4184,-80.65,-11.17,-52.94,1.4307388773464353,-3.5286085737423507,9.669240110141718,19.4251531940732,21.568045880732797,1.8333809881193996,-57.381658416034014,16.477726734220003,-76.58477315963802,2025-05-24 12:50:05:020
2025-5-24 12:50:5:20,WTRIGHT,4.975936942100376,-4.922297451313051,1.7156255767052946,-5.0287152650201286,6.2794339784607045,35.028616168460985,0.67621,-0.59021,0.13858,-0.4184,-80.63,-10.96,-52.98,5.282366185985699,-1.39885033294148,7.822878768774332,23.993987007689398,22.556226888728798,-0.9454759491235976,-57.534871671610006,16.51248132984,-76.43846559486798,2025-05-24 12:50:05:020
2025-5-24 12:50:5:20,WTRIGHT,5.561971556340434,-4.887335786910291,2.002106871791401,-6.759783874641805,6.32233068188705,42.70582635591277,0.67621,-0.59021,0.13858,-0.4184,-80.65,-10.7,-52.99,3.129726338993767,-0.9360275754609968,6.9483956774465465,26.390367214663797,33.9199889041602,4.397483019090998,-57.739816396106,16.501372760738,-76.277354882644,2025-05-24 12:50:05:020
